50,2729,235,124,-126,12,14,7737313,3938
100,2720,299,73,-54,-40,4,7737361,3938
150,2717,241,50,10,78,-64,7737316,3938
200,2717,181,76,-70,0,42,7737311,3938
250,2720,270,81,16,20,-6,7737313,3938
300,2726,291,11,30,-26,34,7737312,3938
350,2716,101,89,112,6,40,7737087,3938
400,2723,239,91,2,2,80,7736997,3938
450,2724,341,49,84,112,114,7736923,3938
500,2726,162,172,42,-68,-134,7736918,3938
550,2723,226,163,-74,-44,-132,7736963,3938
600,2717,275,142,-10,-6,26,7736965,3938
650,2718,248,193,-10,-46,-8,7736943,3938
700,2720,200,84,-14,-68,-50,7736961,3938
750,2734,190,16,28,-6,-124,7737014,3938
800,2729,199,126,120,56,-110,7737057,3938
850,2718,296,105,-88,-14,98,7737008,3938
900,2724,210,80,-160,-6,36,7736973,3938
950,2727,209,32,2,-48,-4,7737074,3938
1000,2733,281,12,-54,28,104,7737177,3938
1050,2732,248,54,20,-20,-80,7737194,3938
1100,2726,144,119,124,-46,-76,7737254,3938
1150,2730,283,162,-8,-58,-60,7737303,3938
1200,2739,248,172,-140,30,-50,7737372,3938
1250,2737,197,113,42,2,12,7737326,3938
1300,2733,237,35,-52,-44,34,7737292,3938
1350,2732,299,89,16,70,102,7737287,3938
1400,2740,299,93,118,-32,-32,7737337,3938
1450,2718,191,166,-90,4,14,7737373,3937
1500,2713,203,179,-130,-26,32,7737446,3937
1550,2730,303,71,30,-38,-22,7737618,3937
1600,2731,166,-32,-166,56,-56,7737726,3937
1650,2722,114,3,228,28,2,7737753,3937
1700,2724,293,114,112,26,-6,7737697,3937
1750,2731,333,159,2,46,-8,7737700,3937
1800,2712,157,117,64,-14,134,7737696,3937
1850,2718,206,93,84,-10,100,7737661,3937
1900,2714,296,139,-38,26,22,7737621,3937
1950,2719,243,121,-10,-14,86,7737598,3937
2000,2727,163,97,144,0,-22,7737613,3937
2050,2723,199,171,-60,68,38,7737657,3937
2100,2733,287,184,-18,-76,76,7737685,3937
2150,2724,271,80,-22,-30,0,7737795,3937
2200,2733,152,53,100,88,58,7737789,3937
2250,2703,236,19,-130,28,-32,7737835,3937
2300,2738,336,34,22,36,42,7737876,3937
2350,2733,194,10,-14,104,-52,7737984,3937
2400,2711,128,37,78,-38,74,7737988,3937
2450,2743,308,161,92,-68,24,7737868,3937
2500,2723,300,127,-54,-94,112,7737767,3937
2550,2701,77,124,108,92,38,7737743,3937
2600,2729,230,152,36,2,-70,7737640,3937
2650,2725,357,138,-104,-34,2,7737655,3937
2700,2714,200,132,104,20,36,7737651,3937
2750,2723,160,182,-70,36,-12,7737586,3937
2800,2729,288,148,-50,-24,-72,7737409,3937
2850,2709,279,107,60,-32,32,7737353,3937
2900,2721,103,56,-14,22,-122,7737222,3937
2950,2734,192,56,166,28,66,7737176,3937
3000,2718,334,57,-88,-68,92,7737197,3937
3050,2740,212,57,-4,-40,28,7737275,3937
3100,2723,156,35,-44,-8,-58,7737310,3937
3150,2729,300,67,28,-18,-2,7737344,3937
3200,2731,308,81,-42,-16,92,7737384,3937
3250,2721,145,96,32,0,24,7737404,3937
3300,2727,187,89,-86,-4,-102,7737361,3937
